"","age","duration","campaign","pdays","previous","cons.price.idx","cons.conf.idx","euribor3m","nr.employed"
<<<<<<< HEAD
"age",1,0.0509194346490104,0.00935962994390265,-0.0516540924268385,0.0700471964798044,0.00936882760547438,0.0727405585836927,-0.0175793414431863,-0.0387780005713762
"duration",0.0509194346490104,1,-0.106540572161064,-0.0784778001737207,0.045627879845625,0.0298579235794711,-0.0251078494287924,-0.0400861257347622,-0.0633276697705126
"campaign",0.00935962994390265,-0.106540572161064,1,0.0693842150029795,-0.0949719287048562,0.136551578442723,0.00368227030053141,0.167405521884187,0.175595512895635
"pdays",-0.0516540924268385,-0.0784778001737207,0.0693842150029795,1,-0.603151700361734,0.0381347481799352,-0.0582581772738977,0.299498577326149,0.383432165552108
"previous",0.0700471964798044,0.045627879845625,-0.0949719287048562,-0.603151700361734,1,-0.112702714157364,-0.0767012692875698,-0.470500668209413,-0.537302134980395
"cons.price.idx",0.00936882760547438,0.0298579235794711,0.136551578442723,0.0381347481799352,-0.112702714157364,1,0.0981283632645444,0.630155834483509,0.423873759920346
"cons.conf.idx",0.0727405585836927,-0.0251078494287924,0.00368227030053141,-0.0582581772738977,-0.0767012692875698,0.0981283632645444,1,0.345568425122739,0.173764784061687
"euribor3m",-0.0175793414431863,-0.0400861257347622,0.167405521884187,0.299498577326149,-0.470500668209413,0.630155834483509,0.345568425122739,1,0.938436845293369
"nr.employed",-0.0387780005713762,-0.0633276697705126,0.175595512895635,0.383432165552108,-0.537302134980395,0.423873759920346,0.173764784061687,0.938436845293369,1
=======
"age",109.488422589881,137.023933052785,0.241679637209124,-104.489392978613,0.410786687419535,0.0562589940985204,3.45499859545872,-0.319505327530217,-30.0258781537634
"duration",137.023933052785,66138.9830730595,-67.6146904381221,-3901.74559500879,6.5765866870977,4.40667451986164,-29.3106477386381,-17.9066458354691,-1205.17043783434
"campaign",0.241679637209124,-67.6146904381221,6.08968131070333,33.1010166955327,-0.131351199693535,0.19338225629792,0.0412477337005576,0.71756040282941,32.0654177540136
"pdays",-104.489392978613,-3901.74559500879,33.1010166955327,37373.7557394828,-65.3508786601848,4.23084261438198,-51.1243039427439,100.570252000388,5485.27138882444
"previous",0.410786687419535,6.5765866870977,-0.131351199693535,-65.3508786601848,0.314110899486886,-0.0362492056434562,-0.195133214150018,-0.458029184359471,-22.2836472625837
"cons.price.idx",0.0562589940985204,4.40667451986164,0.19338225629792,4.23084261438198,-0.0362492056434562,0.329340568943642,0.255625582368403,0.628147998823379,18.000532536085
"cons.conf.idx",3.45499859545872,-29.3106477386381,0.0412477337005576,-51.1243039427439,-0.195133214150018,0.255625582368403,20.605079190268,2.72466178722587,58.3680406407473
"euribor3m",-0.319505327530217,-17.9066458354691,0.71756040282941,100.570252000388,-0.458029184359471,0.628147998823379,2.72466178722587,3.01705207533762,120.620926437231
"nr.employed",-30.0258781537634,-1205.17043783434,32.0654177540136,5485.27138882444,-22.2836472625837,18.000532536085,58.3680406407473,120.620926437231,5475.86095019277
>>>>>>> 031a9345e2531d1cec2fe39303df93c9e35e5c1d
